번호,하위분류,제목,문의내용,답변부서,답변내용
69,안전관리계획서 작성 관련 문의,경산아이파크2차현장 안전관리계획서 수정,안녕하세요.경산아이파크2차 현장 안전관리계획서인허가기관 및 담당기관 : 경산시청(김종협) → 경산시청(박성우)로 변경을 했었습니다. 안전관리계획서 작성을 하니 다시 김종협 주무관으로 되어있어 확인 부탁드립니다.,건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 인,허가기관 담장자 변경”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 질의하여주신 현장은 현재 변경9차 재검토(시공사 작성중) 단계 진행 확인하였으며(8월30일 14:04) 관리자 아이디로 확인시 경산시청 담당자가 박성우 주무관으로 확인됩니다. 안전관리계획서 제출완료후에도 인허가기관 담장자 이름이 변경이 안되어 있다면 아래의 연락처로 연락주시면 즉시 수정해드리겠습니다4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다.                                                            "
70,"(시설물 내진성능) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",구조안전 및 내진설계 확인서 작성 및 날인에 관한 문의,"구조안전 및 내진설계 확인서 작성 및 날인에 관하여 별지 제1호 ~ 제3호 서식의 작성 취지와 관계전문기술자의 작성 및 날인에 대한 사항입니다.시행 초기의 작성 및 날인은 관계전문기술자와 건축사가 같이 작성 날인하여 접수하였으나 요즘은 구조기술사 날인건을 제외한 건(별지2호 서식)에대해서는 관계전문기술자(건축구조기술사 또는 구조특급기술자)의 날인 없이 건축사 단독으로 작성 접수하는 실정입니다.(2호서식의 건축사 날인은 관계전문기술자의 협력이 필수임.)단독날인의 경우는 건축사가 기술사자격을 갖추었거나 건축구조 특급기술자의 자격을 득한 경우 가능하지만 그렇지 않다면 건축구조 관계전문기술자의 협력을 받아 구조안전확인서를 작성하여야 함에도 불구하고, 양식에서 관계기술자 또는 건축사로 되어있으므로 건축사 날인만으로 가능한 것으로 보고있으며, 허가처리되고 있습니다.따라서 관계전문기술자 작성/날인을 반드시 받아야 하는지, 아니면 건축사 단독 작성/날인으로 가능한지 문의합니다.감사합니다.",내진성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 ""구조안전 및 내진설계 확인서”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 우리원은「지진화산재해대책법 시행규칙 제3조의4」에 따라 '내진성능 확인서'를 발급하는 기관입니다.   나. 질의해주신「건축물의 구조기준 등에 관한 규칙」[별지 제1~3호] '구조안전 및 내진설계 확인서'는「건축법 제        48조」및 동법 시행령 제32조에 의한 사항으로, 우리원의 소관 업무가 아닙니다. 따라서 소관 부처인 국토교통부        건축안전과에 문의하시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 내진성능관리실(업무담당 성현제 ☏ 055-771-1496)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
71,안전관리계획서 작성 관련 문의,안전관리계획서 3차보완 (조건부적정) 완료 보고후  작업진행 가능한지요,"업무에 수고가 많으십니다. 우리현장은 의성종합체육관 건립공사인 공공기관 발주공사입니다.안전관리계획서 관련 문의로 착공전 안전관리게획서를 CSI에 등록하여  항타, 시스템동바리공사를 완료하였습니다.현재 안전관리계획서 3차보완으로 트러스부분 조건부 적정을 CSI로 통한  발주처로 통보받았습니다.안전관리계획서 3차 조건부적정을 2024년 08월28일에 CSI통합시스템에 업로드하여 현재 감리단 검토 승인 및 발주처 검토승인을 한상태입니다.다름이 아니라 감리단에서 CSI승인이 완료되어야 트러스공사를 진행하여야 돤다고 합니다.CSI 승인이 완료되어야 공사를 진행해야 하는지 만약 CSI에 승인을 덕하여 공사를 진행해야 한다면 법적 근거를 어디서 찾을 볼수 있는 알고 쉽습니다.우리현장은 공사기간이 부족한 현장으로 10일정도 트러스공사를 진행 못한다면 공기지연으로 인한 불이익이 발생할 수 있는 현장입니다. 계속공사를 진행할 수 있는 방법은 없는지요",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “공사진행 가능여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 발주청 또는 인허가청에서 안전관리계획서 검토결과를 가지고 시행령 제98조제5항의 각호의 기준으로 ‘적정’, ‘조건부 적정’, ‘부적정’으로 판정하여 통보하도록 되어있으며, 공사 착공가능 여부는 발주청 또는 인·허가기관으로 문의하시기 바랍니다.   나. 또한 건설기술 진흥법상 공사 허가, 착공, 중지, 승인, 점검 등 과 관련된 행정 명령권자는 발주청 및 인·허가 기관입니다. 국토안전관리원은 CSI에서 안전관리계획서 검토 업무를 수행하고 있며, 우리원은 공사 진행가능 여부에 대한 답을 드릴수 없습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다.                                                            "
72,"(건설공사) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",건진법 상 자체안전점검 대상과 교육 실시 대상에 관한 건,"안녕하십니까 업무에 노고가 많으십니다.건진법 제62조(건설공사의 안전관리) ① 건설사업자와 주택건설등록업자는 대통령령으로 정하는 건설공사를 시행하는 경우 안전점검 및 안전관리조직 등 건설공사의 안전관리계획(이하 “안전관리계획”이라 한다)을 수립하고, 착공 전에 이를 발주자에게 제출하여 승인을 받아야 한다. 이 경우 발주청이 아닌 발주자는 미리 안전관리계획의 사본을 인ㆍ허가기관의 장에게 제출하여 승인을 받아야 한다.로 안전관리계획을 수립하도록 하고 있습니다.해당 법 조항에 따라 대통령령 제100조(안전점검의 시기ㆍ방법 등) ① 건설사업자와 주택건설등록업자는 건설공사의 공사기간 동안 매일 자체안전점검을 하고로 규정하고 있으며, 제103조(안전교육) ① 법 제64조제1항제2호 또는 제3호에 따른 분야별 안전관리책임자 또는 안전관리담당자는 법 제65조에 따른 안전교육을 당일 공사작업자를 대상으로 매일 공사 착수 전에 실시하여야 한다.② 제1항에 따른 안전교육은 당일 작업의 공법 이해, 시공상세도면에 따른 세부 시공순서 및 시공기술상의 주의사항 등을 포함하여야 한다.③ 건설사업자와 주택건설등록업자는 제1항에 따른 안전교육 내용을 기록ㆍ관리해야 하며, 공사 준공 후 발주청에 관계 서류와 함께 제출해야 한다.개정 2020. 1. 7.고 규정하고 있습니다.질문 : 자체안전점과 안전교육을 매일 실시하고 이를 발주청에 제출하여야 한다고 규정하고 있는데, 이러한 행위의           주체는 누구인지 궁금합니다.1)시행령 제98조(안전관리계의 수립) 대상공사 작업을 수행하는 건설사업자 - 관계수급인 중 누가 대상인지2) 시행령 제98조(안전관리계의 수립) 대상공사 작업을 수행하는 건설공사의 관계수급인 A,B,C,D업체 중 어느     업체가 해당 되는지     A업체: 항타기/항발기 사용업체    B업체 : 지하 10미터 이상을 굴착하는 건설공사 업체    C업체 : 보온 업체    D업체 : 배관 업체  이상입니다.",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “자체안전점검 대상과 교육 실시 대상에 관한 건”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.    가. 건설기술진흥법 시행령 제98조제1항 각 호에 해당하는 건설공사는 자체안전점검(작업일 매일)과 정기안전점검, 정밀안전점검(해당시), 초기점검(1,2종 시설물의 건설공사), 공자 재개 전 안전점검(해당시)를 포함하여 안전관리계획을 수립하여야 합니다.   나. 건설기술진흥법 시행령 제99조, 규칙 제58조 및 별표7에 따른 안전관리계획 수립 기준에 따라 안전관리계획을 수립하고 이행하여야 하므로, 별표7에서의 자체안전점검은 영 제100조제1항 본문에서의 자체안점점검을 의미합니다. 또한, 영 102조에서 자체안점점검도 동일한 것입니다.   다. 2024.08.30 오후 2시 40분경 유선상 통화를 진행하였으며 자체안전교육과 안전교육의 주체는 시공사에서 하여야 한다고 안내드렸습니다. 안전관리계획 수립대상이 아닌 경우에는 건설기술 진흥법 시행령 제100조제1항에 따른 자체안전점검을 실시하지 않아도 됩니다만, 산업안전보건법 등 관계 법령 또는 시방서, 인허가 사항 등에 따라 별도의 매일 자율점검을 실시하도록 규정한 경우에는 이를 준수하여야 합니다.   라. 따라서 안전관리계획서에 공종별로 작성된 자제안점점검 및 교육은 작업과 관련된 근로자에 대해서 안전교육을 실시하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다.                                                            "
73,"(시설물 안전) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",정밀안전점검 시 복합구조에 대한 표본층 산정 문의,"정밀안전점검 시 복합구조에 대한 표본층 산정에 대하여 문의드립니다.지하5층~지상20층, 연면적 : 29,302㎡ 규모로 지하5층~지하1층 : 철근콘크리트조 / 지상1층~지상20층 : 철골조입니다.세부지침(건축물편) 6.3.3 재료시험 기준수량, 가. 표본 층(단위) 선정,  3) 복합구조의 경우 복합구조형식의 경우, 전체 연면적에 대한 해당 구조형식 연면적의 비율로 재료 시험 기준수량을 산정하며, 산정방법 예시는 다음과 같다. (단, 형식별 최소 1개소 이상 산정하여야 하며, 소수점 이하는 올림으로 계산한다.) 라고 명시되어 있는데 예시에 있는 방법으로 계산한 결과,1. 지하5층~지하1층 : 철근콘크리트조 연면적 : 6,942.5㎡2. 지상1층~지상20층 : 철골조 연면적 : 22,360.4㎡3. 전체 연면적 : 29,302.9㎡ 일때지하5층~지하1층 : 철근콘크리트조 : 1개층(단위)지상1층~지상20층 : 철골조 : 4개층(단위)이 계산이 맞는지 확인부탁드립니다.",시설성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “건축물 정밀안전점검 시 표본층의 선정”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 시설물의 안전 및 유지관리 실시 세부지침(안전점검진단편)(이하 “세부지침”) 건축물편의 6.3.3에서 복합구조의 경우 전체 연면적에 대한 해당 구조형식의 연면적의 비율로 표본층 수를 결정하며, 해당 산식은 아래와 같습니다.  * 단, 형식별 최소 1개소 이상 산정, 소수점 이상 올림- A 구조형식과 B 구조형식으로 이루어져 있는 경우 A 구조형식 표본층(단위)수 = 전체표본층(단위)수*(A 구조형식 연면적)/(전체 연면적)   나. 따라서 질의주신 경우를 산식에 대입하면전체 표본층 수: 전체 25개층(지하층 포함) → 정밀안전점검 기준 4개층 이상 1) RC조 표본층 수 = 4개층 * (6,942.5㎡)/(6,942.5㎡+22,360.4㎡) = 0.948 → 1개층 이상 2) 철골조 표본층 수 = 4개층 * (22,360.4㎡)/(6,942.5㎡+22,360.4㎡) = 3.052 → 4개층 이상  * 전체 표본층 수량 4개층 이상 만족, 형식별 최소 1개소 이상 만족 다. 따라서, RC조 1개층 이상, 철골조 4개층 이상으로 표본층을 선정하시어 정밀안전진단 업무를 수행하는 것이 적절할 것으로 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 강호정 ☏ 055-771-8483)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.감사합니다."
74,건설공사 설계안전성 검토 관련 문의,설계안전성검토 대상 중 흙막이 지보공에 관한 문의 입니다.,"안녕하세요.설계안전성 검토 대상 중 흙막이 지보공에 문의사항이 있습니다.첨부된 도면을 보시면 지보가 없는 시트파일이고총 높이는 3.12m 입니다.다만 3.12m 중 1.4m는 흙막이 용도 이고, 나머지 1.72m는 차수 목적으로 설치 되었습니다.이 경우 지보가 없는 시트파일도 흙막이 지보공으로 보는 건지와흙막이 깊이 산정 시 흙막이 목적인 1.4m만 깊이로 보는지 아니면 차수 목적인 1.72m 포함한 3.12m 를 흙막이 깊이로 산정해야 하는 건지 문의 드립니다.",건설품질관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “설계안전성검토 대상인, 높이 2미터 이상 흙막이 지보공에 해당 여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. '설계의 안전성 검토'는 「건설기술진흥법 시행령」제75조의2제1항, 제98조제1항, 제101조의제1항에 따라 수행하여야 하며,   나. 질의하신 내용 중 '높이가 2미터 이상인 흙막이 지보공'의 '지보공'은 건설공사를 진행하는 도중 어느 시기에 어느 물건(토사, 구조물 등)을 지탱하기 위해 설치되는 구조물의 것을 지보공(산업안전대사전)이라고 정의합니다. 따라서 토사를 지지하는 흙막이 지보공의 높이가 2미터 이상일 경우 설계의 안전성 검토 대상이며,   다. 첨부하신 파일 검토 결과 흙막이 지보공 높이가 2미터 이상인것으로 판단되어 설계의 안전성 검토 대상임으로 판단됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설품질관리실(업무담당 이주영 ☏ 055-771-1558)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
75,건설공사 설계안전성 검토 관련 문의,"가설구조물 중 거푸집, 동바리 높이 산정 문의","안녕하세요.설계안전성 검토 대상 중 5m 이상인 거푸집 및 동바리 대상에 대한 문의를 드립니다.첨부된 파일을 보시면신설암거에서 전체 높이는 5.2m 이고, 내부 높이는 3.5m 되어 있습니다.여기서 5m 이상인 거푸집 및 동바리를 산정할 때거푸집 높이를 3.5m 로 보는 건지 아니면 전체 높이인 5.2m 보는 건가요저희가 판단했을 때는 바닥부 0.9m 와 상부 슬래브 0.8m 를 제외한 3.5m로 보고 5m 이상 거푸집에 해당하지 않을 것으로 보았습니다.동바리 높이도 마찬가지로 3.5m로 판단하였습니다.마찬가지로 옹벽의 경우도거푸집 높이를 산정할 때 하부를 제외한 5.4m 만 보는 건지 아니면 6.0m로 보는 건지 문의 드립니다.정리하자면1. 암거의 거푸집 높이와 동바리 높이 산정 기준에 하부와 상부가 포함 되는 지2. 옹벽의 거푸집 높이 산정 기준에 하부가 포함 되는 지가 궁금하여 문의 드립니다.저희가 봤을 때는 암거는 거푸집, 동바리 둘 다 3.5m, 옹벽은 거푸집 5.4m로 판단하였습니다.",건설품질관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “가설구조물의 높이 산정”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 설계의 안전성 검토는 「건설기술진흥법 시행령」제75조의2제1항, 제98조제1항, 제101조의2의제1항에 따라 수행하여야 하며,   나. 첨부하신 파일(L형 옹벽 일반도, 신설암거 표준단면도) 검토 결과 L형 옹벽 높이 4.4m, 신설암거 높이 3.5m이므로 「건설기술진흥법 시행령」제101조의2의제1항에 해당되지 않아 설계안전성 검토 대상이 아님으로 판단됩니다.    다. 설계안전성 검토 대상이 아니지만 「건설기술진흥법 시행령」제98조제1항6호 가목에 발주자가 안전관리에 특히 필요하다고 인정하는 건설공사는 설계안전성 검토를 작성하여 의뢰할 수 있고,    라. 또한, 「건설기술진흥법 시행령」제67조제2항1~5호에 해당될 경우 설계안전성 검토를 조정하여 시행할 수 있음을 알려드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설품질관리실(업무담당 이주영 ☏ 055-771-1558)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
76,안전관리계획서 작성 관련 문의,가설구조물의 자재변경시 시공시기,"인천수산정수장 건축감리 이성용 입니다당현장은 1.2종 해당현장으로서 2022년 안전관리계획서를 검토받아 시공하던중2024년 08월 건축 하도급이 진행되어 기 승인된자재가 아닌 다른 회사 제품으로 시공하고자 하여높이 15.2m의 시스템 동바리를 설치하도록 되어있어가설구조물의 자재에 대한 시험을 하였고, 구조검토도 받았다고 하는데 현재 미제출 상태입니다제가 알기로는 이 모든서류를 안전관리원에 제출하여 승인을 득하고, 안전관리계획서 변경신고를 완료하고 변경된자재로(외부비계, 시스템동바리)시공을 하여야 하는 것으로 알고 있는데시공사는 검토가 끝났다고 시공을 하고 있읍니다. 여러군데 문의한바 어떤분은 구조검토가 되었으면 미리시공하고 추후 안전관리계획서를 변경해도 된다하고어떤분은 변경승인이 안된상태에서 다른자재로 시공하다 사고날 경우 감리자 책임이라고 하는데어떤것이 올바른 서류처리인지 답변을 부탁합니다",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “가설재 변경에 따른 안전관리계획서 변경여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 공사내용 및 구조 변경으로 인하여 가설구조물의 구조검토를 다시 검토를 받는 경우가 아닌경우, 안전관리계획서 변경 내용이 미비한 경우는  안전관리계획서 제출 대상인 발주청 또는 인허가기관의 장과 협의하여 안전관리계획서 변경 여부에 대한 결정을 협의하실것을 권고드리고 있습니다.   나. 안전관리계획서내 구조 안전성 검토서와 같이 동급 규격인 자재를 사용하였을 경우는 현장에서 자재 시험 성적서만 관리하시면 될것으로 사료되며, 가설재의 규격이 변경되었을 경우 구조안전성 계산을 재수행 안전관리계획서 변경신청이 필요함을 알려드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다.                                                            "
77,"(국가주요시설물) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",건축물 지상층과 지하층이 구조가 다를경우 시설물 세부지침 관련 질문입니다.,"지상층은 철골조, 지하층은 RC구조로 되어있습니다.층수는 지상층 : 21층 / 지하층 : 5층 / 연면적이 130,000m2로 나타나 있습니다. 정밀안전진단기준으로 계산하였을 때 기준층 6개층과 단위개소는 12개로 나타나 있으며현재 지상층은 철골조로 나타나 있으며, 코어벽체의 경우 석고보드와 흡음판으로 마감이 되어있습니다.이러한경우엔 기준층과 단위개소를 비파괴 조사가 가능한 지하층만 계산해야하는건지 궁금합니다.",건축시설안전실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “복합구조의 재료시험 기준수량”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 첫 번째로 정밀안전진단의 재료시험 기준수량은 21층~30층, 연면적 130,000㎡일 경우 6개층 이상, 12개 단위 이상입니다.(표준 층과 표준 단위의 선정 개소수가 서로 상이할 경우 최대치를 기준으로 표준층(단위)를 선정)   나. 두 번째로 복합구조의 경우, 전체 연면적에 대한 해당 구조형식 연면적의 비율로 재료 시험 기준수량을 산정하며, 산정방법 예시는 다음과 같습니다.(단, 형식별 최소 1개소 이상 산정하여야 하며, 소수점 이하는 올림으로 계산) 예) 한 건축물에 A구조형식과 B구조형식으로 이루어져 있는 경우A구조형식 표본층(단위)수=전체표본층(단위)수×A 구조형식 연면적/전체 연면적(A+B)   다. 세 번째로 구조형식 표본층(단위)수 산정 후 점검 대상 부위는 필요하 경우 마감재를 부분적으로 제거하고 실시하여야 합니다.(단, 기준수량 조정의 경우 책임기술자의 판단에 의해 수량의 조정이 가능하며, 조정 시에는 그 사유를 명기)4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건축시설안전실(업무담당 김민수 ☏ 055-771-4832)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
78,"(국가주요시설물) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",상태평가 프로그램 safetyman의 층 분류 기준.,"안녕하세요.상태평가프로그램인 safetyman에서 첫 화면에 표본층을 만들고 시작층과 끝층, 구조형식, 구조재료를 선택하는 정보입력란이 있습니다.여기서 예시로 2층 바닥구조부재를 들면 표본층이 5층(시작층, 끝층 2~5층), 1층(시작층, 끝층 -3~1층)이라면  2층 바닥부재는 어느 표본층에 들어야 하는건가요1층 천장이니까 1층에 넣어야 할까요, 2층 바닥부재니까 2층에 넣어야하나요",건축시설안전실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “상태평가 프로그램의 표본층 데이터 입력”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 표본층 층 정보 및 단위를 입력한 후 '슬래브 부재'에 대한 층 구분에 대한 문의하신 것으로 판단됩니다.    나. '슬래브 부재'의 구분에 따라 해당 층이 변동되는 사항은 기술자 판단에 따라 입력이 가능합니다. 다만, 현장조사 요령에 따라 부재에 대한 비파괴조사 등 재료시험 및 상태평가를 실시한 부재의 세부위치를 반영하여 구분·입력하는 것이 적절할 것으로 판단됩니다.    다. 기타 추가적인 사항은 「시설물의 안전 및 유지관리 실시 세부지침(안전점검·진단 편)_건축물편(해설서)」를 참고하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건축시설안전실(업무담당 김민수 ☏ 055-771-4832)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다."
