Question,Answer,질문날짜,답변날짜
일반 대형마트 및 동네마트에서 달걀 판매 관련 문의 일반 대형마트 및 동네마트에서 달걀을 판매하고자 할 경우 식용란선별포장업에서 포장된 달걀만 판매해야 하나요? 관련해서 궁금합니다.,"□ 축산물 위생관리법령상 식용란수집판매업 영업자 준수사항에 따라 가정용 또는 업소용으로 유통·판매되는 달걀은 식용란선별포장업 영업자의 식용란선별포장장에서 선별·포장 처리해야 합니다.
□ 따라서, 슈퍼마켓 등 점포를 경영하는 자에게 판매하는 달걀은 반드시 식용란 선별포장장에서 선별·포장되어야 합니다.",2025-03-20,2025-03-20
"식품접객업소의 종사자(조리, 서빙 및 포장) 마스크 착용 관련 문의 코로나19로 마스크 착용이 의무에서 권장으로 변경되었는데 이에 따라 식품접객업소의 종사자(조리, 서빙 및 포장)도 마스크 미착용이 가능한가요? 관련해서 궁금합니다.","□ 「식품위생법 시행규칙」 [별표 1] 제4호는 ‘식품등의 제조·가공·조리 또는 포장에 직접 종사하는 사람은 위생모 및 마스크를 착용하는 등 개인위생관리를 철저히 하여야 한다.’고 규정하고 있습니다.
□ 위 규정은 식품을 취급하는 종사자의 침액 등을 통한 위생상의 위해를 방지하고자 하는 목적으로 개인위생을 관리하기 위해 마스크를 착용하도록 규정하고 있는 것이며, 코로나19에 따른 실내 마스크 착용 기준과 관계없이 식품접객업소에서 식품을 제조·가공·조리 또는 포장에 직접 종사하는 사람은 마스크를 착용하여야 합니다.
□ 따라서, 음식을 조리하거나 서빙과 포장하는 업무를 함께 하는 경우라면 마스크 착용 대상에 해당합니다.
 서빙만 하는 경우에는 마스크 착용 의무 대상은 아니나 조리된 음식물을 취급함으로 착용이 바람직함",2025-03-20,2025-03-20
"휴게음식점 및 일반음식점에서 제과점영업자가 당일 제조·가공한 빵을 구입 후 판매 관련 문의 휴게음식점 및 일반음식점에서 제과점영업자가 당일 제조·가공한 빵을 구입하여 추가 조리(전자레인지 가열, 잼 토핑 한 경우 당일 판매할 수 있나요? 관련해서 궁금합니다.","□ 휴게음식점영업자·일반음식점영업자가 제과점영업자 또는 즉석판매제조·가공업자로부터 당일 제조·가공한 빵류·과자류 및 떡류를 구입한 경우 구입 당일 판매하여야 합니다.
 관련규정 : 「식품위생법 시행규칙」 [별표 17] 제7호 저목
□ 휴게음식점 및 일반음식점에서 제과점영업자가 당일 제조·가공한 빵을 구입한 경우 구입한 상태의 빵 그대로 당일 판매하여야 합니다.",2025-03-20,2025-03-20
식품제조·가공업체에서 식품을 담기 위한 용도로 재사용병 사용 관련 문의 식품제조·가공업체에서 식품을 담기 위한 용도로 재사용병 사용 가능한지와 해당 제조업소 및 식기 세척업체가 구비해야 하는 서류가 있나요? 관련해서 궁금합니다.,"□ 일회용 또는 다회용 용기 사용에 대해서는 식품위생법상 별도로 제한하고 있지 않습니다.
□ 참고로, 식품의 용기·포장을 회수하여 재사용하고자 할 때에는 「먹는물관리법」의 수질기준에 적합한 물, 「위생용품 관리법」에 따른 세척제 등으로 깨끗이 세척하여 일체의 불순물 등이 잔류하지 아니하였음을 확인한 후 사용하여야 합니다.
   기구 및 용기포장의 기준 및 규격(식약처 고시) 제2. 다목
□ 다만, 식품위생법상 식품제조·가공업소가 보관하여야 하는 서류에 대하여 별도로 규정하고 있지 않습니다.
   식기 세척업체는 식품위생법 상 영업자에 해당하지 않음",2025-03-20,2025-03-20
장비제독제의 기능과 유의사항은 무엇인가요? 장비제독제의 기능과 유의사항은 무엇인가요? 관련해서 궁금합니다.,"□ 장비제독제는 휴대용제독기(KM11)의 운용을 위한 제독용액입니다. 생화학 작용제에 오염된 장비·차량 및 지역을 제독할 수 있도록 휴대용제독기에 1회에 2통씩 투입하여 사용합니다. 제독용액은 강한 알카리성분으로 피부에 직접적으로 닿지 않게 주의하여야 합니다.
□ 기타 자세한 강남구 민방위 관련 사항은 강남구 재난안전과 민방위팀(02-3423-6951 ~ 6954)으로 문의하시기 바랍니다.",2025-01-07,2025-01-07
휴대용제독기의 용도와 사용방법은 무엇인가요? 휴대용제독기의 용도와 사용방법은 무엇인가요? 관련해서 궁금합니다.,"□ 휴대용제독기는 생화학 작용제의 오염 장비·차량 및 지역에 대한 소규모 응급 제독에 활용합니다.
□ 사용방법은 아래와 같습니다.
  제독기 상단 용액 주입구 마개를 열고 장비제독제(DS2) 2통을 주입
  지렛대 손잡이를 이용 내부 압력이 상승하도록 30회 내외로 펌핑
  제독이 필요한 장소에 노즐을 향하게 하고, 판레버를 열어 제독용액 발사
□ 기타 자세한 강남구 민방위 관련 사항은 강남구 재난안전과 민방위팀(02-3423-6951 ~ 6954)으로 문의하시기 바랍니다.",2025-01-07,2025-01-07
"오염 표지판에 원자, 생물, 가스의 차이점은 무엇인가요? 오염 표지판에 원자, 생물, 가스의 차이점은 무엇인가요? 관련해서 궁금합니다.","□ 오염 표지판은 오염 원인별로 “원자”, “생물”, “가스” 표지판을 설치하여 오염지역 내 활용 요원이 아닌 사람의 출입을 통제하기 위한 목적입니다.
□ 각 오염 원인별 차이는 아래와 같습니다.
  원자 : 방사능 오염
  생물 : 생물학작용제 오염
  가스 : 화학작용제 오염
□ 기타 자세한 강남구 민방위 관련 사항은 강남구 재난안전과 민방위팀(02-3423-6951 ~ 6954)으로 문의하시기 바랍니다.",2025-01-07,2025-01-07
화학 탐지지의 용도는 무엇인가요? 화학 탐지지의 용도는 무엇인가요? 관련해서 궁금합니다.,"□ 화학 탐지지는 전쟁용 화학작용제의 오염 여부 확인에 활용합니다. 10 ~ 20cm 단위로 절단 오염이 예상되는 표면에 접촉시켜 색 변화(적색)로 작용제 오염여부를 판단합니다.
□ 기타 자세한 강남구 민방위 관련 사항은 강남구 재난안전과 민방위팀(02-3423-6951 ~ 6954)으로 문의하시기 바랍니다.",2025-01-07,2025-01-07
화생방보호의 세트의 용도와 착용법은 무엇인가요? 화생방보호의 세트의 용도와 착용법은 무엇인가요? 관련해서 궁금합니다.,"□ 화생방보호의 세트는 화생방 상황 시 전쟁용 작용제로부터 민방위대원의 피부 노출 최소화를 위해 신체를 보호하기 위한 보호장비입니다.
 보호덧신, 바지, 상의, 장갑 순으로 아래에서 위쪽으로 착용하여야 합니다.
□ 기타 자세한 강남구 민방위 관련 사항은 강남구 재난안전과 민방위팀(02-3423-6951 ~ 6954)으로 문의하시기 바랍니다.",2025-01-07,2025-01-07
화생방분대의 확보 장비 종류는 무엇인가요? 화생방분대의 확보 장비 종류는 무엇인가요? 관련해서 궁금합니다.,"□ 화생방분대 장비는 민방위기술지원대 및 직장민방위대에 편성된 화생방분대의 대원용 장비로 화생방 상황 시 관할 지역·직장의 기본적인 사태수습을 위한 장비 5종(화생방방독면 제외)으로 구성하여 운영됩니다.
  화생방방독면, 화생방보호의, 화학 탐지지, 오염 표지판, 휴대용제독기, 장비 제독제
   화생방방독면은 공통장비로 화생방분대뿐만 아니라 모든 민방위대원(통·리대, 기술·직장대)에게 개인당 1개씩 보급
□ 기타 자세한 강남구 민방위 관련 사항은 강남구 재난안전과 민방위팀(02-3423-6951 ~ 6954)으로 문의하시기 바랍니다.",2025-01-07,2025-01-07
화생방분대 장비의 목적은 무엇인가요? 화생방분대 장비의 목적은 무엇인가요? 관련해서 궁금합니다.,"화생방 상황에 대비하여 민방위대원이 주민 보호를 위해 대피 유도 및 긴급구호 지원 등의 업무를 수행하는데 필요한 최소한의 장비 확보가 목적입니다.
기타 자세한 강남구 민방위 관련 사항은 강남구 재난안전과 민방위팀(02-3423-6951 ~ 6954)으로 문의하시기 바랍니다.",2025-01-07,2025-01-07
지방세 납부 방법은 어떤 것들이 있나요? 지방세 납부 방법은 어떤 것들이 있는지 궁금합니다. 관련해서 궁금합니다.,"서울시가 부과한 지방세, 세외수입, 상하수도요금은 서울시 인터넷 세금납부 시스템인 ETAX(etax.seoul.go.kr), ETAX 모바일웹(etax.seoul.go.kr/m), 모바일앱 STAX, ARS(1599-3900) 등을 이용하여 금융기관 방문 없이 편리하게 납부할 수 있습니다.
특히 ETAX를 이용하면 고지서가 없거나 전자납부번호를 몰라도 회원가입 후 로그인하면 부과된 각종 지방세, 세외수입, 상하수도요금이 자동 조회되며 즉시 납부할 수 있습니다.
비회원도 전자납부번호, 납세번호, 상하수도고객번호로 고지내역을 조회하여 납부할 수 있습니다.",2024-07-31,2024-07-31
주택 가격은 어떻게 확인하나요? 주택 가격은 어떻게 확인하는지 궁금합니다. 관련해서 궁금합니다.,"개별단독주택 및 공동주택의 공시가격은 한국부동산원 부동산 공시가격 알리미 홈페이지(https://www.realtyprice.kr) 에서 확인하실 수 있습니다.
주택가격은 물론 표준지 공시지가 및 개별 공시지가도 확인이 가능합니다.
개별단독주택 가격은 강남구 세무관리과 과표관리팀에서 산정하며, 공동주택가격은 국토교통부 산하 한국부동산원에서 산정하고 있습니다.",2024-07-31,2024-07-31
지방세를 체납하면 어떤 불이익을 받게 되나요? 지방세를 체납하면 어떤 불이익을 받는지 궁금합니다. 관련해서 궁금합니다.,"지방세를 체납하면 납부지연가산세(최대 39.6%), 재산(부동산, 자동차 의 압류, 관허사업의 제한, 고액체납자의 경우 명단 공개 및 해외 출국 금지 등의 불이익을 받게 됩니다.
또한, 체납자의 주거래 은행정보를 확인해 예금 압류를 할 수 있으며, 체납 발생일부터 1년이 경과한 5백만 원 이상
체납자에 대해 한국신용정보원에 신용정보자료(공공기록정보)를 제공하면 신용등급이 하락할 수 있습니다.",2024-07-31,2024-07-31
자동차등록번호판은 어떤 경우에 영치하나요? 자동차등록번호판은 어떤 경우에 영치하는지 궁금합니다. 관련해서 궁금합니다.,"독촉기간 내에 체납된 자동차세를 납부하지 않는 경우에는 자동차등록번호판을 영치하게 됩니다.
영치 시에 소유주의 자동차등록번호, 영치일시, 번호판 보관장소, 체납금액 등을 기재한 영치증을 자동차에 부착하거나 교부하게 되며,
자동차등록번호판을 다시 찾고자 하실 경우에는 구청에 방문하여 체납된 세금을 납부하고 찾아가실 수 있습니다.",2024-07-31,2024-07-31
지방세 환급금은 어떻게 확인하나요? 지방세 환급금은 어떻게 확인하는지 궁금합니다. 관련해서 궁금합니다.,"지방세 환급금 확인 방법은 서울시 ETAX(인터넷 세금납부시스템)에 접속하여 환급 메뉴에서 주민등록번호로 조회가 가능합니다.
지방세 환급금 사전계좌등록을 하시면 번거로운 신청 절차 없이 바로 환급을 받으실 수 있습니다.
서울시 ETAX에 접속 후 회원가입 및 공인인증서 등록을 하고 환급메뉴에서 환급금계좌등록/조회를 누르시면 됩니다.
환급금계좌등록/조회 메뉴에서는 계좌 등록, 조회, 변경, 취소 처리가 가능합니다.",2024-07-31,2024-07-31
마을세무사란 무엇인가요? ‘서울시 마을세무사’가 무엇인지 궁금합니다. 관련해서 궁금합니다.,"‘서울시 마을세무사’는 복잡한 세무 행정에 대한 전문지식이 부족하거나 과세 불복 절차에 소요되는 비용이 부담되는
시민들에게 재능기부로 세무 상담과 권리구제 지원을 해주는 우리 마을( 담당 세무사이며,
25개 자치구 426개 동에서 296명의 마을 세무사가 활동하고 있습니다.
서울시 마을 세무사는 다산콜센터(대표번호 120)와 서울특별시청 홈페이지(http://news.seoul.go.kr/gov/towntaxoffice)에서 확인할 수 있습니다.
상담은 국세·지방세 모두 가능하며, 우리 동네 마을 세무사를 확인한 뒤 전화로 연락하여 상담을 신청하면 됩니다.",2024-07-31,2024-07-31
우수제안 채택 시 혜택이 있나요? 우수제안 채택 시 혜택이 있나요? 관련해서 궁금합니다.,"제안 심사회의를 통해 ""채택제안""으로 선정된 경우, 창안 등급을 부여하여 각 창안등급에 따라 부상금을 지급하고 있습니다.  창안등급을 부여받지 못한 제안이더라도, 예산의 범위에 따라 제안 장려를 위해 기념품 등을 증정할 수 있습니다.
서울특별시 강남구 제안제도 운영에 관한 조례
제16조(제안의 등급)
  채택제안의 창안등급은 금상·은상·동상·장려상으로 구분한다. 다만, 그 등급에 해당하는 제안이 없는 경우에는 등급을 부여하지 아니한다.
 제1항의 창안등급을 부여받은 제안자에게 구청장 표창 및 부상을 수여한다. 
 창안자에 대한 구청장 표창의 공적심사는 제안 심사회의의 심의로 대신하고, 공적심사위원회의 심사를 거치지 아니한다. 
 제18조(부상금의 지급)
  채택제안의 제안자에 대하여는 창안등급에 따라 부상금을 지급한다. 다만, 공동으로 제안을 제출한 경우 각자의 기여도에 따라 부상금을 지급한다.
 금상 : 1창안당 200만원 
 은상 : 1창안당 100만원 
 동상 : 1창안당 50만원 
 장려상 : 1창안당 30만원 
 노력제안 : 1제안당 10만원 
 제11조에 따른 심사결과 창안등급으로 채택하기는 어려우나 업무개선 효과가 있을 것으로 판단되는 제안은 제안 심사회의 의결로 노력제안으로 채택하여 제1항제5호에 따라 부상금을 지급한다.
 제안을 제출한 제안자 중에서 채택되지 아니한 사람에게는 제안 심사회의가 정하는 바에 따라 예산의 범위에서 기념품 등을 증정할 수 있다.",2024-07-30,2024-07-30
국민신문고로 제안을 접수했습니다. 처리기한은 어떻게 되나요? 국민신문고로 제안을 접수했습니다. 처리기한은 어떻게 되나요? 관련해서 궁금합니다.,"제안 접수일로부터 1개월 이내에 소관부서 검토를 통해 제안 추진 여부에 대해 답변드리고 있으며, '추진가능'한 제안의 경우,
제안의 실시 예정일을 함께 안내드리고 있습니다. 다만 정책 여건의 변화, 추진 일정 변경 등에 따라 실시 예정일이 변경될 수 있습니다.",2024-07-30,2024-07-30
주민세 사업소분은 언제 납부하나요? 주민세 사업소분은 언제 납부하는지 궁금합니다. 관련해서 궁금합니다.,매년 7월 1일 현재 사업소를 둔 사업자가 사업소별 소재하는 관할 지방자치단체에 8월1일~31일까지 신고 납부하여야 합니다.,2024-07-30,2024-07-30
주민세(개인분)가 나오는 사람이 있고 나오지 않는 사람이 있는데 이유가 무엇인가요? 주민세(개인분)가 나오는 사람이 있고 나오지 않는 사람이 있는데 이유가 궁금합니다. 관련해서 궁금합니다.,"과세기준일(매년 7월 1일) 현재 주소를 두고 있는 모든 세대주(외국인 포함)에게 주민세가 부과되지만, 아래의 경우에는 부과되지 않습니다.
  「국민기초생활보장법」에 따른 수급자
  「민법」에 따른 미성년자
  미혼인 30세 미만의 단독 세대주
  「출입국관리법」 제31조에 따른 외국인등록을 한 날로부터 과세기준일 현재 1년이 경과되지 아니한 외국인",2024-07-30,2024-07-30
일시 휴업중이라도 주민세(사업소분) 납세의무가 있나요? 일시 휴업중이라도 주민세(사업소분) 납세의무가 있는지 궁금합니다. 관련해서 궁금합니다.,사업장이 과세기준일() 현재 1년 이상 계속하여 휴업하고 있는 경우에는 주민세(사업소분) 납세의무가 없습니다,2024-07-30,2024-07-30
주민세란 무엇인가요? 주민세의 종류는 어떤 것이 있고 납세의무자 및 세율이 궁금합니다. 관련해서 궁금합니다.,"주민세의 종류 및 납세의무자
 (개인분) 자치구에 매년 7월 1일(과세기준일) 주소를 둔 개인
 (사업소분) 매년 7월 1일 현재
   사업소를 둔 개인(직전년도 부가가치세 과세표준액 8,000만원 이상의 사업자)
   사업소를 둔 법인(법인세의 과세대상이 되는 법인격 없는 사단재단 및 단체포함)
   사업소 연면적 330제곱미터 초과 사업소를 둔 사업주
 (종업원분) 종업원에게 급여를 지급하는 사업주
   최근 12개월간 해당 사업소 종업원 급여총액의 월평균 금액이 1억5,000만원 초과
 세율
 (개인분) 주소를 둔 개인 : 4,800원(지방교육세 포함 6,000원)
   주민등록법에 따른 세대원 및 이에 준하는 개인으로서 대통령령으로 정하는 자
 (사업소분)
   사업주가 개인인 사업소 : 5만원
   사업주가 법인인 사업소 : 5만원 ~ 20만원
자본금액 또는 출자금액 세 액
50억원 초과 20만원
30억원 초과 50억원 이하 10만원
30억원 이하 5만원
그 밖의 법인 5만원
   사업소용 건축물 연면적에 대한 세율 : 1제곱미터당 250원
 (종업원분) : 종업원 급여 총액의 1,000분의 5",2024-07-30,2024-07-30
지방소득세란 무엇인가요? 지방소득세의 종류는 어떤 것이 있고 납세의무자 및 납세지가 궁금합니다. 관련해서 궁금합니다.,"지방소득세의 종류
  개인지방소득 : 종합소득(이자·배당·사업·근로·연금·기타소득), 퇴직소득, 양도소득
  법인지방소득 : 각 사업연도소득, 청산소득, 양도소득, 미환류소득
 납세의무자
  소득세 및 법인세 납세의무가 있는 자(개인 및 법인)
   외국인과 외국법인을 포함(내국인, 내국법인은 국내외 소득 모두
과세하지만, 외국인, 외국법인은 국내원천 소득만 과세)
 납세지
 (개인) 근무지(근로퇴직소득), 주소지(사업연금양도소득 
 (법인) 각 사업장 소재지(종업원 수, 건축물 연면적 기준 안분)",2024-07-30,2024-07-30
"등록면허세 면허분이란 무엇인가요? 등록면허세 면허분의 과세대상, 납세의무자, 세율이 궁금합니다. 관련해서 궁금합니다.","과세대상
 (면허분) 각종 법령에 규정된 면허허가인가 등을 부여은 경우
   과세대상 면허 호수: 962개(지방세법 시행령 별표1)
 납세 의무자
 (면허분) 면허를 받는 자
   - 정기분 : 매년 1월 1일 면허가 갱신되는 것으로 보아 납기 (매년 16~31)에 부과징수
   - 신고분 : 면허증서 발급 송달 전까지 신고 납부
   - 수시분 : 무신고 시 보통징수(부과·징수)
 세율
  1종 : 67,500원 (주류제조업, 관광숙박업 
  2종 : 54,000원 (식품보존업, 해외건설업 
  3종 : 40,500원 (통신판매업, 약국개설 
  4종 : 27,000원 (건축물의 용도변경, 건강기능식품판매업 
  5종 : 18,000원 (유료직업소개사업, 세탁업",2024-07-30,2024-07-30
정보공개청구 처리기간은 어떻게 되나요 정보공개청구 처리기간은 어떻게 되나요 관련해서 궁금합니다.,"정보공개청구 처리기간은 다음과 같습니다
공개여부 결정통지 : 정보공개 법정 처리기간은 10일
 청구인의 만족도 제고를 위하여 우리 시는 7일 내 처리 권장
- 정보부존재, 진정･질의 통지 : 민원 처리에 관한 법률에 따라 7일 이내
 처리기간 기산 : 초일은 처리기간에 산입하고, 토요일･공휴일은 미 산입
 처리기간 기산점(업무처리 시간 내를 기준으로 
- 청구인이 직접 방문한 경우 청구서를 제출한 날
- 우편 또는 팩스로 청구한 경우 청구서가 기관에 도착한 날
- 인터넷을 통하여 청구한 경우는 청구서가 시스템에 입력된 날
- 타 기관으로부터 이송된 경우 이송된 날
40 청구를 받은 날부터 10일 이내에 공개여부를 결정할 수 없는 부득이한 사유가 있을 경우 10일의 범위 내에서 연장가능
 처리기간 연장 결정 시 연장사실 및 연장사유를 지체 없이 청구인에게 문서로 통지
- 연장 통지서는 결정기간 연장 통지서 표준양식을 참고하여 연장 근거법령, 연장기간 및 구
체적인 연장사유 등을 구체적으로 작성(시행규칙 별지 제3호서식)
- 온라인(정보공개시스템)의 방법으로 청구한 경우 시스템 결정통지로 갈음 가능하되, 오
프라인(직접방문, 우편, 팩스 의 방법으로 청구한 경우는 결정통지서를 우편, 교부, 정보
통신망 등의 방법으로 송부, 단 정보통신망을 이용한 송달은 송달받을 자가 동의하는 경우에
한함(행정절차법 제14조)",2024-07-30,2024-07-30
정보공개의 방법은 무엇이 있나요 정보공개의 방법은 무엇이 있나요 관련해서 궁금합니다.,"정보공개의 방법은 다음과 같습니다.
 문서, 도면, 사진 등은 열람 또는 사본으로 제공 가능
 필름 및 테이프 등은 시청 또는 인화물･복제물을 제공
 마이크로필름, 슬라이드 등은 시청･열람 또는 사본･복제물을 제공
 전자적 형태로 보유･관리하는 정보 등은 파일을 복제하여 정보통신망을 활용한 정보공개시스
템으로 송부, 매체에 저장하여 제공, 열람･시청 또는 사본･출력물을 제공
 이미 공개된 정보의 경우 인터넷 주소 및 게시장소 등 접근경로를 안내하는 방법으로 해
당 정보의 소재(所在)안내
 공개할 때 본인 등을 확인할 필요가 없는 경우 청구인의 요청에 따라 사본･출력물･복
제물･인화물 또는 복제된 파일을 우편･팩스 또는 정보통신망의 방법을 이용하여 보낼
수 있음(시행령 제14조제2항)
 전자적 형태로 보유･관리하는 정보에 대해 전자적 형태로 공개를 요청하는 경우 정보의 성질상
현저히 곤란한 경우를 제외하고는 청구인의 요청에 따라야 함(법 제15조)
- 전자적 형태로 보유･관리하지 아니하는 정보는 정상적인 업무수행에 현저한 지장을 초래하거나 그 정보의 성질이 훼손될 우려가 없으면 전자적 형태로 변환하여 공개",2024-07-30,2024-07-30
정보공개 청구권자는 누군가요 정보공개 청구권자는 누군가요 관련해서 궁금합니다.,"정보공개 청구권자는 정보공개법 제5조(정보공개 청구권자) 의하여 다음과 같습니다.
 모든 국민
- 미성년자, 재외국민, 수형자 등 포함
- 법인, 권리능력 없는 사단･재단 포함(종중, 동창회 
 외국인(시행령 제3조)
- 국내에 일정한 주소를 두고 거주하는 자(예 : 외국인 등록증이 있는 경우)
- 학술･연구를 위하여 일시적으로 체류하는 자
- 국내에 사무소를 두고 있는 법인 또는 단체",2024-07-30,2024-07-30
정보공개 대상기관은 무엇이 있나요 정보공개 대상기관은 무엇이 있나요 관련해서 궁금합니다.,"정보공개 대상기관은 아래와 같습니다.
 국가기관
- 국회, 법원, 헌법재판소, 중앙선거관리위원회
- 중앙행정기관(대통령 소속 기관과 국무총리 소속 기관 포함) 및 그 소속 기관 : 정부조직법상 특별지방행정기관, 부속기관, 합의제 행정기관 포함
- 행정기관 소속 위원회의 설치･운영에 관한 법률에 따른 위원회
 지방자치단체
- 지방자치법에 따른 기관 : 특별시, 광역시, 특별자치시, 도, 특별자치도, 시･군･구, 지방의회, 지방자
치단체의 장 등의 협의체 등
- 지방교육자치에 관한 법률에 따른 기관 : 시･도 교육청, 교육지원청, 교육위원회, 교육감 협의체 등
 공공기관의 운영에 관한 법률 제2조에 따른 공공기관
 유아교육법, 초･중등교육법, 고등교육법에 따른 각급 학교 또는 그 밖의 다른 법률에
따라 설치된 학교
 지방공기업법에 따른 지방공사 및 지방공단
 지방자치단체 출자･출연 기관의 운영에 관한 법률 제2조제1항에 따른 출자･출연기관
 특별법에 따라 설립된 특수법인
 사회복지사업법 제42조제1항에 따라 국가나 지방자치단체로부터 보조금을 받는 사
회복지법인과 사회복지사업을 하는 비영리법인
 보조금 관리에 관한 법률 제9조 또는 지방재정법 제17조제1항 각 호 외의 부분 단서에 따
라 국가나 지방자치단체로부터 연간 5천만원 이상의 보조금을 받는 기관 또는 단체(다
만, 정보공개 대상 정보는 해당 연도에 보조를 받은 사업으로 한정",2024-07-30,2024-07-30
정보공개법상 정보에 해당하지 않는 경우는 무엇인가요? 정보공개법상 정보에 해당하지 않는 경우는 무엇인가요? 관련해서 궁금합니다.,"정보공개법상 '정보'에 해당하지 않는 경우는 아래와 같습니다.
 직무상 활용하기 위해 수집한 통계자료에 해당하지 않는 경우
 신문･잡지 등 불특정 다수인에게 판매를 목적으로 발간된 자료 등
 도서관에서 보유하고 있는 일반 서적
 공공기록물 관리에 관한 법률에 따라 보존연한이 경과하여 폐기된 정보
 현존하지 않는 정보 등",2024-07-30,2024-07-30
정보공개제도가 뭔가요 정보공개제도가 뭔가요? 관련해서 궁금합니다.,"정보공개제도란, 공공기관이 직무상 작성하거나 취득해서 관리하고 있는 정보를 국민이 청구하면 열람･
사본･복제물 등의 형태로 공개하거나 공공기관이 보유하고 있는 정보를 배포 또는 공
표 등의 적극적인 형태로 공개하는 제도입니다.",2024-07-30,2024-07-30
구정에 대한 개선의견이면 무엇이든 제안에 해당하나요? 구정에 대한 개선의견이면 무엇이든 제안에 해당하나요? 관련해서 궁금합니다.,"제안이란 구민 등이 서울특별시 강남구청장에게 제출하는 행정제도·행정서비스·행정문화 및 행정운영의 개선과 관련된 의견 또는 고안입니다.
 
다만, 아래 사항에 해당하는 경우는 제안에서 제외됨을 알려드립니다.
 타인이 취득한 특허권·실용신안권·디자인권·저작권에 속하는 것이거나 「서울특별시 강남구 공무원 직무발명 보상 조례」에 따라 보상이 확정된 것
 
 이미 채택된 제안이거나 그 기본구상이 이와 유사한 것
 
 일반 통념상 실제로 그 적용이 불가능하다고 판단되는 것
 
 단순한 주의환기·진정·비판·건의 또는 불만의 표시에 불과한 것
 
 서울특별시 강남구(이하 ""구""라 한다)의 행정과 관련이 없는 사기업체의 생산성 향상과 관련된 것",2024-07-30,2024-07-30
｢행정절차법｣ 제40조에 따른 ‘신고’의 경우에도 처리결과를 통지하여야 하는지? ｢행정절차법｣ 제40조에 따른 ‘신고’의 경우에도 처리결과를 통지하여야 하는지? 관련해서 궁금합니다.,"｢행정절차법｣ 제40조에 따른 ‘신고’는 기재사항에 흠이 없고, 필요한 구비서류가 첨부되어 있고, 법령 등에 규정한 형식상의 요건에 적합한 경우에는 신고서가 접수기관에 도달된 때에 신고의 의무가 이행된 것으로 볼 수 있습니다.
따라서 이러한 ‘신고’는 하자가 없을 경우 행정기관에 도달함으로써 효력이 발생하므로 별도의 처리결과 통지는 필요하지 않습니다.
다만, 신고필증 교부를 의무화 한 경우에는 신고필증을 교부함으로써 처리결과 통지를 갈음할 수 있습니다.
참고로 민원명에 ‘신고’라고 규정되어 있어도 사실상 인·허가인 경우가 있으며, ‘인·허가’라고 되어있는 민원 중에도 사실상 신고의 경우가 있는 등 학문상의 개념과 실제 사용하는 민원명이 다른 경우도 있습니다.",2024-07-30,2024-07-30
"법률에 정해진 민원 신청 만료일이 토요일인 경우, 언제까지 접수가 가능한지? 법률에 정해진 민원 신청 만료일이 토요일인 경우, 언제까지 접수가 가능한지? 관련해서 궁금합니다.","민원처리법 제19조(처리기간의 계산)는 민원이 접수된 후 행정기관의 처리기간에 대한 규정으로 민원인의 신청기간은 개별법령 혹은 기간계산의 모법이라 할 수 있는 ｢민법｣에 따라야 할 것입니다.
｢민법｣ 제161조에 따라 기간의 말일이 토요일 또는 공휴일에 해당하는 때에는 기간은 그 익일로 만료하므로 신청 만료일이 토요일이라면 토요일, 일요일의 다음날인 차주 월요일까지 신청이 가능합니다.",2024-07-30,2024-07-30
행정기관이 민원인의 이메일로 회신한 답변을 공문서로 볼 수 있는지? 행정기관이 민원인의 이메일로 회신한 답변을 공문서로 볼 수 있는지? 관련해서 궁금합니다.,"행정기관이 민원인에게 이메일로 회신한 답변은 공적 효력이 있는 공문서로 보기는 어렵습니다.
전자정부에서 공문서로서의 전자문서는 전자정부의 전자문서시스템 또는 업무관리시스템(이하 “전자문서시스템등”
이라 을 활용한 표준화된 양식으로 작성된 것이어야 하고, 그 공문서의 송수신은 전자정부의 정보통신망을 활용하여 이루어져야 한다고 할 것입니다.
다만, 기관이 전자문서시스템 등으로 작성한 전자문서를 파일화하여 민원인에게  이메일로  전송한다면  이는  공문서로  볼  수  있을 것입니다.
(참고  :  판례 16-0476, 2016.29.)",2024-07-30,2024-07-30
